Company,Iteration,Max_Value_Change,Converged
BRTI,34,1.3919421256814926e-06,False
BRTI,35,1.3213478382629093e-06,False
BRTI,36,1.2544360460220558e-06,False
BRTI,37,1.1909997911425962e-06,False
BRTI,38,1.1308457327475986e-06,False
BRTI,39,1.0737930349442263e-06,False
BRTI,40,1.0196723572935504e-06,False
BRTI,41,9.683249404854023e-07,True
CIPL,1,2.0708053170085223e-05,False
CIPL,2,1.453686295364305e-05,False
CIPL,3,1.0747270279003148e-05,False
CIPL,4,8.340344784821216e-06,False
CIPL,5,6.754040581302035e-06,False
CIPL,6,5.665880069804163e-06,False
CIPL,7,4.887900619492038e-06,False
CIPL,8,4.3087474052161135e-06,False
CIPL,9,3.861107564186652e-06,False
CIPL,10,3.503332421997139e-06,False
CIPL,11,3.2089849847805475e-06,False
CIPL,12,2.9608256595385813e-06,False
CIPL,13,2.747300369982026e-06,False
CIPL,14,2.560453990663479e-06,False
CIPL,15,2.3946661967013788e-06,False
CIPL,16,2.2458691694032015e-06,False
CIPL,17,2.111052545642893e-06,False
CIPL,18,1.9879428702621786e-06,False
CIPL,19,1.8747912249975377e-06,False
CIPL,20,1.7702293482993768e-06,False
CIPL,21,1.6731700657595663e-06,False
CIPL,22,1.5827370131940853e-06,False
CIPL,23,1.498214137441833e-06,False
CIPL,24,1.4190088225986925e-06,False
CIPL,25,1.3446245816425286e-06,False
CIPL,26,1.2746405797993572e-06,False
CIPL,27,1.2086961131553922e-06,False
CIPL,28,1.146478730749723e-06,False
CIPL,29,1.0877150676438351e-06,False
CIPL,30,1.0321637159490138e-06,False
CIPL,31,9.796096414918217e-07,True
COAL,1,4.147667640288531e-06,False
COAL,2,2.4933714098042655e-06,False
COAL,3,1.7544136515432363e-06,False
COAL,4,1.3383562629297573e-06,False
COAL,5,1.084993764326004e-06,False
COAL,6,9.174581882288586e-07,True
EICH,1,0.00023040073227962796,False
EICH,2,0.00013421101518404843,False
EICH,3,8.464230208720167e-05,False
EICH,4,5.7948940541861945e-05,False
EICH,5,4.282155080750395e-05,False
EICH,6,3.365205105040035e-05,False
EICH,7,2.771937643283553e-05,False
EICH,8,2.3643780604336816e-05,False
EICH,9,2.0690396276926604e-05,False
EICH,10,1.8449142878055333e-05,False
EICH,11,1.668057902052297e-05,False
EICH,12,1.5238939340770849e-05,False
EICH,13,1.4031961257986365e-05,False
EICH,14,1.2999105348880853e-05,False
EICH,15,1.2099313856983162e-05,False
EICH,16,1.130389244720744e-05,False
EICH,17,1.0592236674696032e-05,False
EICH,18,9.949187762925307e-06,False
EICH,19,9.36334910601501e-06,False
EICH,20,8.825985080186541e-06,False
EICH,21,8.330282227273639e-06,False
EICH,22,7.870841740264612e-06,False
EICH,23,7.443323239499176e-06,False
EICH,24,7.044189839822026e-06,False
EICH,25,6.670522538551344e-06,False
EICH,26,6.319883018743376e-06,False
EICH,27,5.990210897346233e-06,False
EICH,28,5.679745886909499e-06,False
EICH,29,5.386968240638076e-06,False
EICH,30,5.11055278568887e-06,False
EICH,31,4.84933316599438e-06,False
EICH,32,4.60227382825969e-06,False
EICH,33,4.3684479281463255e-06,False
EICH,34,4.147019794561958e-06,False
EICH,35,3.937383634781359e-06,False
EICH,36,3.738705780598065e-06,False
EICH,37,3.550272594663969e-06,False
EICH,38,3.3715168573584045e-06,False
EICH,39,3.2019097535247775e-06,False
EICH,40,3.0409570564143146e-06,False
EICH,41,2.888195872115392e-06,False
EICH,42,2.743191842080454e-06,False
EICH,43,2.605536721888321e-06,False
EICH,44,2.4748462705923165e-06,False
EICH,45,2.3507858346963903e-06,False
EICH,46,2.2329819772977226e-06,False
EICH,47,2.121107151746679e-06,False
EICH,48,2.014859324645348e-06,False
EICH,49,1.913952339104637e-06,False
EICH,50,1.8181150197572838e-06,False
EICH,51,1.7270903341726836e-06,False
EICH,52,1.640634606914508e-06,False
EICH,53,1.5585167826279492e-06,False
EICH,54,1.4805177347269904e-06,False
EICH,55,1.406429616459615e-06,False
EICH,56,1.336055251349342e-06,False
EICH,57,1.2692075602244645e-06,False
EICH,58,1.2057090222606075e-06,False
EICH,59,1.1453911676619858e-06,False
EICH,60,1.0880940997965859e-06,False
EICH,61,1.0336660447786308e-06,False
EICH,62,9.81962926649817e-07,True
ETEA,1,1.201844982343937e-05,False
ETEA,2,9.307877953963386e-06,False
ETEA,3,7.669183025838223e-06,False
ETEA,4,7.049084335168518e-06,False
ETEA,5,6.53567699547231e-06,False
ETEA,6,5.998448316749798e-06,False
ETEA,7,5.483484554264546e-06,False
ETEA,8,5.008899949034806e-06,False
ETEA,9,4.579508994093169e-06,False
ETEA,10,4.194121865035418e-06,False
ETEA,11,3.849120884900997e-06,False
ETEA,12,3.5401669794948707e-06,False
ETEA,13,3.2629732559262466e-06,False
ETEA,14,3.0136204912557406e-06,False
ETEA,15,2.7886540425084265e-06,False
ETEA,16,2.585081843046151e-06,False
ETEA,17,2.4003322257392463e-06,False
ETEA,18,2.2321995246852276e-06,False
ETEA,19,2.078790023864432e-06,False
ETEA,20,1.9384732854471094e-06,False
ETEA,21,1.809840322858033e-06,False
ETEA,22,1.6916684963018473e-06,False
ETEA,23,1.5828923876119798e-06,False
ETEA,24,1.48257974472282e-06,False
ETEA,25,1.389911618725491e-06,False
ETEA,26,1.3041659244694492e-06,False
ETEA,27,1.2247037813382477e-06,False
ETEA,28,1.1509581093337336e-06,False
ETEA,29,1.0824240579748794e-06,False
ETEA,30,1.0186509300878625e-06,False
ETEA,31,9.592353307258963e-07,True
GRAS,1,6.536898794837577e-05,False
GRAS,2,3.812146224722911e-05,False
GRAS,3,2.4696354956990946e-05,False
GRAS,4,1.7650047078430586e-05,False
GRAS,5,1.367691245577131e-05,False
GRAS,6,1.1260628627589135e-05,False
GRAS,7,9.677660986188291e-06,False
GRAS,8,8.566763349677115e-06,False
GRAS,9,7.73854961971435e-06,False
GRAS,10,7.088708453997653e-06,False
GRAS,11,6.557008620860453e-06,False
GRAS,12,6.107130507769753e-06,False
GRAS,13,5.716303702022634e-06,False
GRAS,14,5.369746144603916e-06,False
GRAS,15,5.057554224702579e-06,False
GRAS,16,4.772897046662484e-06,False
GRAS,17,4.510932521679608e-06,False
GRAS,18,4.268137511661977e-06,False
GRAS,19,4.0418831202698215e-06,False
GRAS,20,3.8301592182162435e-06,False
GRAS,21,3.631392070764343e-06,False
GRAS,22,3.4443213355171037e-06,False
GRAS,23,3.267915679504925e-06,False
GRAS,24,3.1013139784741165e-06,False
GRAS,25,2.9438951773032036e-06,False
GRAS,26,2.7950322081981204e-06,False
GRAS,27,2.653966293226942e-06,False
GRAS,28,2.520226328428109e-06,False
GRAS,29,2.3933844668896963e-06,False
GRAS,30,2.2730490003220393e-06,False
GRAS,31,2.1588588757582357e-06,False
GRAS,32,2.0504794284052015e-06,False
GRAS,33,1.9475990233357903e-06,False
GRAS,34,1.849926379835149e-06,False
GRAS,35,1.757188411372052e-06,False
GRAS,36,1.669173264819471e-06,False
GRAS,37,1.5855819968444546e-06,False
GRAS,38,1.5062068403269254e-06,False
GRAS,39,1.4308247041634856e-06,False
GRAS,40,1.35921396460722e-06,False
GRAS,41,1.2911873941321924e-06,False
GRAS,42,1.2265665577203396e-06,False
GRAS,43,1.1651815442288076e-06,False
GRAS,44,1.1068706646821553e-06,False
GRAS,45,1.0514801313369379e-06,False
GRAS,46,9.988637275177507e-07,True
HALC,1,1.0365151300980774e-05,False
